期,総数,琉球大学出身_県内_人数,その他大学出身_県外_人数,琉球大学出身_県内_pct,その他大学出身_県外_pct
38,36,5,31,13.9,86.1
39,34,3,31,8.8,91.2
40,27,7,20,25.9,74.1
41,28,5,23,17.9,82.1
42,24,7,17,29.2,70.8
43,26,4,22,15.4,84.6
44,23,3,20,13.0,87.0
45,30,4,26,13.3,86.7
46,32,4,28,12.5,87.5
47,31,3,28,9.7,90.3
48,28,7,21,25.0,75.0
49,31,8,23,25.8,74.2
50,30,8,22,26.7,73.3
51,32,5,27,15.6,84.4
52,35,10,25,28.6,71.4
53,29,2,27,6.9,93.1
54,30,9,21,30.0,70.0
55,33,6,27,18.2,81.8
56,36,10,26,27.8,72.2
57,29,10,19,34.5,65.5
58,31,12,19,38.7,61.3
59,28,13,15,46.4,53.6
60,30,12,18,40.0,60.0
