期,総数,沖縄出身_県内勤務,沖縄出身_県外勤務,沖縄出身_勤務先不明,県外出身_県内勤務,県外出身_県外勤務,県外出身_勤務先不明,出身不明_県内勤務,出身不明_県外勤務,出身不明_勤務先不明
38,36,4,1,0,11,19,1,0,0,0
39,34,6,2,0,6,18,2,0,0,0
40,27,7,1,0,9,9,1,0,0,0
41,28,6,1,0,13,8,0,0,0,0
42,24,4,2,0,6,11,1,0,0,0
43,26,2,2,0,12,10,0,0,0,0
44,23,5,0,0,10,8,0,0,0,0
45,30,7,0,0,15,8,0,0,0,0
46,32,3,0,0,20,9,0,0,0,0
47,31,6,0,0,18,6,1,0,0,0
48,28,5,0,1,12,9,1,0,0,0
49,31,5,0,0,17,9,0,0,0,0
50,30,8,0,0,15,7,0,0,0,0
51,32,3,2,2,9,16,0,0,0,0
52,35,8,1,0,12,12,2,0,0,0
53,29,3,0,0,12,11,2,0,1,0
54,30,1,3,4,4,13,5,0,0,0
55,33,0,4,3,1,18,2,0,5,0
56,36,4,1,2,1,17,3,0,4,4
57,29,1,3,6,1,12,5,1,0,0
58,31,0,5,9,0,2,12,1,2,0
59,28,0,4,7,0,1,16,0,0,0
60,30,0,0,12,0,0,15,1,2,0
